Iteration,Timestep,Date,Variable,Jurisdiction,AgeMin,AgeMax,Sex,Value
1,197,12/08/2020,Cases,Canada - British Columbia,,,,82
1,198,13/08/2020,Cases,Canada - British Columbia,,,,91
1,199,14/08/2020,Cases,Canada - British Columbia,,,,111
1,200,15/08/2020,Cases,Canada - British Columbia,,,,61
1,201,16/08/2020,Cases,Canada - British Columbia,,,,80
1,202,17/08/2020,Cases,Canada - British Columbia,,,,51
1,203,18/08/2020,Cases,Canada - British Columbia,,,,73
1,204,19/08/2020,Cases,Canada - British Columbia,,,,84
1,205,20/08/2020,Cases,Canada - British Columbia,,,,106
1,206,21/08/2020,Cases,Canada - British Columbia,,,,121
1,207,22/08/2020,Cases,Canada - British Columbia,,,,71
1,208,23/08/2020,Cases,Canada - British Columbia,,,,63
1,209,24/08/2020,Cases,Canada - British Columbia,,,,63
1,210,25/08/2020,Cases,Canada - British Columbia,,,,45
1,211,26/08/2020,Cases,Canada - British Columbia,,,,97
1,212,27/08/2020,Cases,Canada - British Columbia,,,,111
1,213,28/08/2020,Cases,Canada - British Columbia,,,,106
1,214,29/08/2020,Cases,Canada - British Columbia,,,,102
1,215,30/08/2020,Cases,Canada - British Columbia,,,,89
1,216,31/08/2020,Cases,Canada - British Columbia,,,,59
1,217,01/09/2020,Cases,Canada - British Columbia,,,,97
1,218,02/09/2020,Cases,Canada - British Columbia,,,,80
1,219,03/09/2020,Cases,Canada - British Columbia,,,,149
1,220,04/09/2020,Cases,Canada - British Columbia,,,,123
1,221,05/09/2020,Cases,Canada - British Columbia,,,,109
1,222,06/09/2020,Cases,Canada - British Columbia,,,,112
1,223,07/09/2020,Cases,Canada - British Columbia,,,,92
1,224,08/09/2020,Cases,Canada - British Columbia,,,,114
1,225,09/09/2020,Cases,Canada - British Columbia,,,,121
1,226,10/09/2020,Cases,Canada - British Columbia,,,,121
1,227,11/09/2020,Cases,Canada - British Columbia,,,,149
1,228,12/09/2020,Cases,Canada - British Columbia,,,,99
1,229,13/09/2020,Cases,Canada - British Columbia,,,,84
1,230,14/09/2020,Cases,Canada - British Columbia,,,,84
1,231,15/09/2020,Cases,Canada - British Columbia,,,,153
1,232,16/09/2020,Cases,Canada - British Columbia,,,,143
1,233,17/09/2020,Cases,Canada - British Columbia,,,,153
1,234,18/09/2020,Cases,Canada - British Columbia,,,,128
1,235,19/09/2020,Cases,Canada - British Columbia,,,,108
1,236,20/09/2020,Cases,Canada - British Columbia,,,,129
1,237,21/09/2020,Cases,Canada - British Columbia,,,,98
1,238,22/09/2020,Cases,Canada - British Columbia,,,,75
1,239,23/09/2020,Cases,Canada - British Columbia,,,,153
1,240,24/09/2020,Cases,Canada - British Columbia,,,,79
1,241,25/09/2020,Cases,Canada - British Columbia,,,,95
1,242,26/09/2020,Cases,Canada - British Columbia,,,,119
1,243,27/09/2020,Cases,Canada - British Columbia,,,,88
1,244,28/09/2020,Cases,Canada - British Columbia,,,,97
1,245,29/09/2020,Cases,Canada - British Columbia,,,,110
1,246,30/09/2020,Cases,Canada - British Columbia,,,,116
1,247,01/10/2020,Cases,Canada - British Columbia,,,,147
1,248,02/10/2020,Cases,Canada - British Columbia,,,,94
1,249,03/10/2020,Cases,Canada - British Columbia,,,,126
1,250,04/10/2020,Cases,Canada - British Columbia,,,,123
1,251,05/10/2020,Cases,Canada - British Columbia,,,,88
1,252,06/10/2020,Cases,Canada - British Columbia,,,,114
1,253,07/10/2020,Cases,Canada - British Columbia,,,,120
